__v,_id,bpne,btar,btle,id3,ida,marg,njs,nws,opd,opn1,opnb,opnn,pnt1,pnt2,pnt3,pnt4,pnt5,sarg1,sarg2,sarg3,texp,trm
0,621d8dc2ffca423dcb49c865,,,,Pradhan Mantri Fasal Bima Yojana - An Evaluation,O0025,,Business Line,,2022-02-28T00:00:00.000Z,"Weather-based crop insurance scheme needs to be expanded to crops across India. Collective efforts of all the stakeholders is essential to take the goodness of intrinsic Indian spices such as Kashmir saffron, Naga chilli, Lakadong turmeric and UP’s kalonji to international markets. Spices Board has been providing proactive interventions while working with all categories of stakeholders, trade promotion and regulatory bodies of importing countries and intergovernmental organisations which has propelled the Indian spice industry to reach $ 4 billion mark in the last fiscal year.",#UNION_MINISTER_OF_COMMERCE_AND_INDUSTRY,On increasing volume of global spice trade,,,,,,,,,,
0,621d8f14ffca423dcb49c867,,,,Ensuring Quality of Milk and Consumer Grievance Redressal Mechanism in Dairy Sector,O0026,,Business Line,,2022-02-28T00:00:00.000Z,"Rural households may suffer financial setbacks in the unforeseen event of loss of cattle and insurance is imperative in such a scenario. However, one of the key challenges faced by insurers is authenticating a claim by correctly identifying the cattle insured, and muzzle reading through a unique digital identity helps address this gap. Muzzle patterns, similar to fingerprint in humans, is unique to each bovine. In the last few years, insurers had to rely on ear tags and injectable RFID tags for identification of the bovine, but were prone to tampering and discomfort to cattle.",#INDUSTRY_EXPERTS,On technology-based solutions for cattle insurance,,,,,,,,,,
0,621d9d75e602f35787db1369,,,,Issues and Challenges before Higher Education Sector in India,O0027,,The Hindu,,2022-02-28T00:00:00.000Z,"The most sought after international destinations- traditionally, for medical education the U.S., the U.K. and a few west European countries- are, however, too expensive for most Indians. In the last few decades, Russia, China (countries larger than India) and Ukraine (one of Europe’s largest countries), with their historical commitment to public health care have been able to offer more affordable, yet quality, education. The very nature of medical education, an empirical field, requires significant infrastructure- land, equipment, and trained faculty at the post graduate level- all of which are in short supply and uneven in their spread. Without correcting these deficiencies, India cannot expect to dramatically increase the availability of medical personnel. Merely having private establishments start medical schools, without a long-term commitment to offer necessary training and postgraduate education, could lead to a repeat of the engineering fiasco after the dot com boom: a surfeit of engineering colleges without adequately trained faculty or infrastructure that churn out students who need a further skills upgrade to be employable. The Government must instead ease procedures for establishing medical colleges, spend more on infrastructure, and provide incentives for a healthcare ecosystem to develop in rural areas. This could, in the long run, facilitate the growth of private and public medical colleges that could stem the outflow of students aspiring to be doctors. Private investment in medical education by itself will nowhere be enough.",#EDITORIAL,On the dynamics of India’s medical education system,,,,,,,,,,
0,621dbcd2917afb995d66ecd8,,,,Functioning of Agricultural Credit System in the Country,O0028,,Financial Express,,2022-03-01T00:00:00.000Z,"Notwithstanding the growth in the Farmer Producer Organisations model which is based on the produce cluster area and specialised commodity approach, individual farmers find it difficult to get credit from banks and remain dependent on local money lenders who charge exorbitant interest rates. Close to 90% of the lending for FPOs come from the Non-Banking Financial Sector. The RBI needs to issue a a directive requesting banks to report their lending to FPOs and provide those NBFCs who have shown that FPOs are bankable to get priority sector lending. Other problems plaguing FPOs include lack of professional management, weak internal governance, under-capitalisation to take up activities and also absorb credit, inadequate credit linkages, access to market and inadequate access to infrastructure. Further, the growth of FPOs across states have been uneven, limiting its' success.",#CII_NABCONS_REPORT,On Farmer Producer Organisations,,,,,,,,,,
0,621de040c6e37b56955c152a,,,,"Police - Training, Modernisation and Reforms",S0008,,,The maximum utilization of technology with an objective to improve service delivery system and ensuring safety and security of people is essential in the present environment.,2022-03-01T00:00:00.000Z,,,,"To ensure the safety and security of people with maximum use of technology, the Delhi Police has recently launched three digital initiatives i.e. Anubhuti- QR Code-based feedback system, Delhi Police website, and e-Chittha portal.
1. Anubhuti - Feedback Management System is a paperless feedback system. The citizens visiting the police station have to scan the QR code of the police station and mark the feedback responses. Response database will be utilized to analyze and take corrective steps for improvement in the police-public interface. The identity of the user will not be disclosed. This will establish two-way communication with the public and improve the police working through the analysis of feedback received.
2. The user-friendly and more informative website of Delhi Police will be quite useful for citizens to know about Delhi Police services with one click. 
3. e-Chittha is the backbone of duty deployment. Implementation of e-Chittha will not only ensure optimal use of manpower resources but also increase efficiency and transparency in working. The staff will get sufficient time for family and their own health and well-being and would work with more zeal and enthusiasm.",The merging of Police Control Room into districts has resulted in the availability of more manpower and patrol vehicles at beat and police stations.,Separation of law & order and investigation at all police stations had also necessitated equal distribution of work to bring about the desired results.,,,,,,,
0,621de3eac6e37b56955c152d,,,,Promotion of Electronics/IT Hardware/telecom equipment manufacturing sector under Make in India and measures for reduction of imports,O0029,,The Statesman,,2022-03-01T00:00:00.000Z,"From being a net importer of electronic goods two decades ago, India’s export of electronic goods has reached an all-time high of $12,400 million in this fiscal year ~ 88 per cent more than what it was in 2014. The National Policy on Electronics 2019 aimed to position India as a global hub for Electronics System Design and Manufacturing (ESDM) by encouraging and driving capabilities in the country for developing core components and creating an enabling environment for the industry to compete globally. Currently, the government has introduced four schemes namely- the production linked incentive scheme (PLI) for large-scale electronics manufacturing, scheme for promotion of manufacturing of electronic components and semiconductors (SPECS), modified electronics manufacturing clusters scheme (EMC 2.0) and the production linked incentive scheme (PLI) for IT hardware to give boost to the electronics sector and establish the necessary ecosystem.",#MINISTRY_OF_COMMERCE,On expanding electronic goods exports,,,,,,,,,,
0,621de662c6e37b56955c1530,,,,"Implementation of The Real Estate (Regulation & Development) Act, 2016 (RERA) in urban areas-A Review",O0030,,The Statesman,,2022-03-01T00:00:00.000Z,"The Indian real estate sector has demonstrated great resilience during the pandemic. The housing market has bounced well and certain pockets such as Hyderabad, Ahmedabad, Delhi NCR and Pune are poised for favourable housing sales. The commercial real estate sector has also started picking up well. With the data centres being granted an infrastructure status, land pockets such as Navi Mumbai, which have emerged as hubs for data centre, also stand to gain from this current climate.",#REAL_INSIGHT_RESIDENTIAL_2021,On post-Covid real estate market,,,,,,,,,,
0,621e07728dd62817a65a078e,,,,Tax policies and compliance with capital controls,O0031,,Business Line,,2022-03-01T00:00:00.000Z,"In 2019-20, Indians made about Rs.95,000 crore of long-term capital gains. About 80 per cent of those long-term capital gains were made by the people earning Rs.50 lakh and more per annum. In 2022-23, this share may reach 90 per cent. These are just 0.1 or 0.2 per cent of the population. Giving relief in the case of LTCG will only increase money in the pockets of a few people. Other countries charge long-term capital gains tax at the applicable rate of 25 to 30 per cent while in India it is only at 10 per cent. And the long-term period is 12 months.",#UNION_FINANCE_SECRETARY,On justification for Long-term Capital Gains tax,,,,,,,,,,
0,621e082e8dd62817a65a0792,,,,Ease of Doing Business,O0032,,Business Line,,2022-03-01T00:00:00.000Z,"About 40 per cent of raw material for cement production- limestone- is naturally available in the South, and there is no ordinary portland cement in the North. Unless cement moves from South to North, there will be a shortage of cement in the North. Logistics support for the cement industry in the South by way of railway freight to transport cement to northern regions will be helpful to avoid cartelisation of the industry.",#INDUSTRY_EXPERTS,On logistics support for cement sector,,,,,,,,,,
0,621e08a68dd62817a65a0795,,,,Indias preparedness for 5G,O0033,,Business Line,,2022-03-01T00:00:00.000Z,"Digital will increasingly determine competitiveness of not only companies but nations and continents. 5G will underpin the next wave of digital innovation and industrial revolution for every country and society. Every country and region will try to maximise their chance to capture this opportunity for jobs and growth. Africa needs digital to accelerate development and diversify its economies. Europe needs digital to remain globally competitive and maintain its leadership role in key sectors such as automotive, aerospace defence and agriculture.",#VODAFONE_CEO,On impact of 5G on geopolitics,,,,,,,,,,
0,621e09358dd62817a65a0798,,,,Functioning of Agricultural Credit System in the Country,O0034,,Business Line,,2022-03-01T00:00:00.000Z,"NABARD has created close to 16,000 FPOs since 2010-11. The philosophy behind this concept of producers’ group is what to produce, how to produce, how much to produce and at what rates it should be sold. Many of the FPOs are now either input or output aggregators and not doing enough for the welfare of the farmers. To overcome the challenge of lower productivity, FPOs need to leverage new technologies such as artificial intelligence (AI) and Block chain towards optimising collectivisation benefits. The concept from cooperatives to collectivisation to FPOs though all in similar veins, there are differences in approach. The FPO model has the potential to enhance global trade of Indian geographical indication (GI) products at competitive prices.",#UNION_AGRICULTURE_MINISTRY,On enhancing productiveness of FPOs,,,,,,,,,,
0,621e09a48dd62817a65a079b,,,,India's position in the ongoing Climate Change Negotiations,O0035,,Business Line,,2022-03-01T00:00:00.000Z,"Only 7 per cent of all disaster events were drought-related between 1970 and 2019, yet they contributed disproportionately to 34 per cent of disaster-related death, mostly in Africa. Climate change and rising demand mean about 40 per cent of people in India will live with water scarcity by 2050 compared with about 33 per cent now. Both the Ganges and the Brahmaputra river basins will also see increased flooding as a result of climate change, particularly if warming exceeds 1.5° C. In India, rice production can decrease by 10 to 30 per cent and maize 25 to 70 per cent assuming a temperature increase of 1° to 4° C. By mid-21st century, the international trans-boundary river basins of Amu Darya, Indus, Ganges and inter-State Sabarmati river basin in India could face severe water scarcity challenges with climate change acting as a stress multiplier.",#CLIMATE_CHANGE_2022_IPCC,On impact of Climate Change in India,,,,,,,,,,
0,621e3b3fd4df02e209cbd278,,,,"Inter-sectoral review of challenges of emerging and converging technologies, entities and practices",O0036,,Mint,,2022-03-01T00:00:00.000Z,"NFT is a unique digital identifier that cannot be copied, substituted, or subdivided. It is recorded in a blockchain and is used to certify authenticity and ownership. NFTs aid in the commercialization of media and entertainment. On the Metaverse interface, media companies can generate and sell digital assets, providing an extra revenue stream. This rewards creators by providing them with a new source of income from their work.  Metaverse would trigger interactive storytelling. To design immersive experiences, creators and brand builders will need to collaborate with technologists to make ideas come alive.",#INDUSTRY_EXPERTS,On metaverse and NFTs,,,,,,,,,,
0,621e3be0d4df02e209cbd27a,,,,Status of Aviation Connectivity in the country,O0037,,Mint,,2022-03-01T00:00:00.000Z,"India’s ambitious plan to connect smaller towns and cities to the wider domestic air travel network under the government’s flagship Regional Connectivity Scheme (RCS) is struggling to take off even after five years. Also, the penetration of helicopters in India is negligible. Regional airlines are struggling to survive due to reasons such as delays in operationalization and discontinuation of various regional routes due to the non-readiness of civil airports and heliports, the unsustainability of operations on certain routes, and the adverse impact of the pandemic on passenger demand on these routes. This industry has been one of the worst-hit by the pandemic and related restrictions on mobility. This is in addition to high operating costs, especially due to rising oil prices.",#MINISTRY_OF_CIVIL_AVIATION,On regional air connectivity,,,,,,,,,,
0,621e500c22b8322099b8208a,,,,Promotion of Electronics/IT Hardware/telecom equipment manufacturing sector under Make in India and measures for reduction of imports,O0038,,Mint,,2022-03-01T00:00:00.000Z,"The dependence of leading global semiconductor manufacturers on raw materials, palladium and neon, sourced from Russia and Ukraine, respectively, could prolong the global semiconductor crisis and even indirectly impact device manufacturers in countries such as India because of a delay in supply of critical parts. Ukraine supplies more than 90% of the US’s semiconductor-grade neon, while Russia provides 35% of the US’s palladium. The noble gas Neon is used in critical laser lithography in semiconductor manufacturing. This process is used to etch patterns on silicon, which is fundamental to making computer chips. Palladium is used for the pins that conduct electricity on a chip. India largely draws its supplies from Taiwan and Russia.",#INDUSTRY_EXPERTS,On dependence of global semiconductor industry on Russia and Ukraine,,,,,,,,,,
0,621e54f222b8322099b8208c,,,,"Long term impact of the Covid-19 pandemic on the global economy, trade flows, and financial markets",O0039,,Mint,,2022-03-01T00:00:00.000Z,"The Ukraine conflict has brought down the Russian currency, Ruble as well as the Ukrainian currency, Hyrvina. The conflict has highlighted the danger of the single currency- single country exposure to the Indian investors who have most of their investments in domestic stocks and bonds. Political, economic, and military issues can cause the value of investments in just the particular country and currency to drop sharply. Any period of financial crisis resulting from country-specific reasons is likely to see a correction in the stock markets as well as a simultaneous weakness in the currency. In such a period, if any investments are held outside the home country, they can protect an investor’s portfolio to an extent- since the foreign investments may not be impacted.",#INDUSTRY_EXPERTS,On the need for diversification of an individual's investment portfolio,,,,,,,,,,
0,621e5e11b2e3753583f9165e,,,,Others,O0040,,Indian Express,,2022-03-01T00:00:00.000Z,"Germany's active participation- including participating in the financial sanctions and suspending the Nord Stream 2 project, is a significant development, for the country firmly turned its back on nationalism as militarism after the trauma of the Hitlerian years and World War II. The evolution of Germany’s idea of its post-war military from self-defence to humanitarian intervention to multilateral participation in expeditionary wars, took place against a background of massive public protests against even rearming for national defence, against the nuclearisation of German territory during the Cold War, and in the 1990s, against participation in the Iraq and Yugoslav crisis. German airbases and finances were available for the 1990 Operation Desert Storm, but not soldiers, and during the war in the former Yugoslavia, Germany contributed to enforcing an embargo at sea against Serbia and Montenegro. German public opinion also underwent a shift after the Serbian army carried out a massacre of Bosnian Muslims at Srebrenica. Germany’s leadership at the turn of the century enabled the country’s participation along with other NATO countries in the US-led Afghan war in 2001. It was based on the rationale that Europe’s economic powerhouse simply could not sit out a war against terrorism, being waged for “everything our world holds dear”, including freedom, democracy, tolerance and human life.",#EDITORIAL,On Germany's active participation in countering Russian aggression,,,,,,,,,,
0,621e5f6cb2e3753583f91662,,,,India's Soft Power and Cultural Diplomacy: Prospects & Limitations,O0041,,Indian Express,,2022-03-01T00:00:00.000Z,"Sport is finally pulling its weight in international affairs, and proving to live up to the cliche of being a pathfinder for the youth. Russia has been hit by economic sanctions, and freezing of its financial assets. But nothing visibly isolates a football-mad nation such as Russia like the refusal to engage with it on a football field. The invasion has brought the spotlight on Russian oligarchs and their ownership of clubs, notably Chelsea, which will serve as another moral and monetary leverage as the rest of the world attempts to stop Russia. Sport upon sport- from gymnastics to badminton- have issued strong condemnations, revoking of hosting rights to Russian cities and ordered non-display of Russian flags wherever their athletes participate. The most poignant opposition to the war has come from Russian big names on the international circuit. While Andrey Rublev scribbled ‘No War’ on camera after winning at Dubai, a host of Russian chess GMs — Ian Nepomniachtchi, Peter Svidler and Alexandra Kosteniuk — have ventured to take a stand against war, calling it a dark day.",#EDITORIAL,On Sports Diplomacy,,,,,,,,,,
0,621e638bb2e3753583f91664,,,,Achieving $ 10 Trillion GDP – Long-term prospects for the Indian Economy,O0042,,Indian Express,,2022-03-01T00:00:00.000Z,"A historical preference towards investments in heavy industries with significant global competition over labour intensive sectors has slowed down India's growth. Some states will have to take the lead to allow ""hire and fire"" for large factories. India would have to become open to benefit fully from reforms such as Insolvency and Bankruptcy Code, labour law reforms, GST and the corporate tax cut. When you restrict imports, you also restrict exports. Modern supply chains are constituted of large firms specialising in single activities done on a global scale and participation in such supply chains get hampered by even 5 percent tariff as these goods moved through multiple countries. Protectionism today hurts you a lot more today than it did in the past because inputs have to cross many borders. Most major supply chains in Asia are in countries with free trade agreements with goods moving without barriers.",#ARVIND_PANAGARIYA,On boosting Indian economic growth,,,,,,,,,,
0,621eecc912a767305786035b,,,,Ensuring Quality of Milk and Consumer Grievance Redressal Mechanism in Dairy Sector,O0043,,New Indian Express,,2022-03-01T00:00:00.000Z,"Appointment of a private diary company representative as one of the directors of the National Dairy Development Board would lead the NDDB being controlled by market forces. On January 18, the Union government issued a draft notification to amend the NDDB Act, 1987. According to the proposal, the NDDB can have two directors, one of whom shall be from private dairy industries. Presently, NDDB acts as a nodal agency for funding, implementing, and monitoring dairy development activities. Since Aavin relies on NDDB for infrastructure improvements, the latter should not be allowed to be headed by private players.",#AAVIN_EMPLOYEES,On the proposal to appoint a private dairy company representative as one of the directors of NDDB,,,,,,,,,,
0,621ef862c56317d21ef88cba,,,,Potential of Tourist Spots in the country - Connectivity and Outreach,S0009,,,"The government is to hand over about 1,000 notified heritage sites and monuments to private players or non-government organisations for maintenance under a special arrangement such as the Monument Mitra (adopt a heritage) scheme.",2022-03-01T00:00:00.000Z,,,,The Monument Mitra project was envisioned to provide an enhanced tourism experience and also to ensure quality and inclusive provision of amenities and facilities at heritage sites. ,"The government has signed MoUs with private entities for more than 24 sites including Dara Shikoh Library Building (Delhi), Aguada Fort (Goa), Bara Lao ka Gumbad (Delhi), Rani-ki-Vav (Gujarat), Tomb of Abdur Rahim Khan-i-Khana (Delhi), Gandikota Fort (Andhra Pradesh), Red Fort (Delhi), and Ajanta Caves (Maharashtra).",,,,,,,,
0,621ef910c56317d21ef88cbe,,,,Augmenting Infrastructure Facilities to Boost Export,O0044,,New Indian Express,,2022-03-01T00:00:00.000Z,"PM Gati Shakti will ensure true public-private participation in infrastructure creation from infrastructure planning to development and utilisation stage. There is lack of coordination among the stakeholders in the traditional way of completing projects. This was due to the lack of clear information among various departments. With PM Gati Shakti everyone will be able to make their plan with complete information. This will give a new direction to infrastructure planning, implementation and monitoring, and also reduce time and cost overrun of projects.",#PRIME_MINISTER,On PM Gati- Shakti,,,,,,,,,,
0,621efbecc56317d21ef88cc0,,,,National Hydrogen Energy Mission,S0010,,,International hydrogen trade needs to start soon if it is to make an impact on the global energy system.,2022-03-01T00:00:00.000Z,,,,"Make industrial ports the nerve centres for scaling up the use of clean hydrogen: Today, much of the refining and chemicals production that uses hydrogen based on fossil fuels is already concentrated in coastal industrial zones around the world. Encouraging these plants to shift to cleaner hydrogen production would drive down overall costs. These large sources of hydrogen supply can also fuel ships and trucks serving the ports and power other nearby industrial facilities like steel plants.","Build on existing infrastructure, such as millions of kilometres of natural gas pipelines: Introducing clean hydrogen to replace just 5% of the volume of natural gas supplies would significantly boost demand for hydrogen and drive down costs.","Expand hydrogen in transport through fleets, freight and corridors: Powering high-mileage cars, trucks and buses to carry passengers and goods along popular routes can make fuel-cell vehicles more competitive.",Launch the hydrogen trade's first international shipping routes: Lessons from the successful growth of the global LNG market can be leveraged. ,,,,,,
0,621f1080c80957647e441428,,,,India's position in the ongoing Climate Change Negotiations,O0045,,Times of India,,2022-03-01T00:00:00.000Z,"Fossil fuels not only cause climate change, but also enable warfare in the midst of multiple crises in which we all live. On February 24, 2021, the Russian Army invaded Ukraine to start a full-scale war in the centre of Europe. In 2019, 41% of EU natural gas imports came from Russia. Russia has been a major emitter of fossil fuels and a contributor to climate change. We see today how fossil fuel dependency and conflict are intertwined. Fossil fuels are a dead end- for our planet, for humanity, and yes, for economies.",#UN_SECRETARY_GENERAL,On correlation between fossil-fuel dependency and conflict,,,,,,,,,,
0,621f10e8c80957647e44142a,,,,Mental Health in contemporary times,O0046,,Times of India,,2022-03-01T00:00:00.000Z,"The arrest of the school headmistress for abetment of suicide in the student’s suicide in Faridabad, as questionable as Rhea Chakraborty being similarly booked in 2020. The Mental Healthcare Act, 2017 recognised that attempt to suicide is not a crime- both logically and medically driving people to suicide should not be a crime either. Indian schools are crying for structural protections against bullying and fixing accountability for excesses is also important. Only 3% of private schools in Delhi-NCR have counsellors, as against the CBSE guideline requiring at least one full-time counsellor per school. But populist scapegoating is a poor substitute and does little to prevent a recurrence of the tragedy.",#EDITORIAL,On arrest of school headmistress on charges of abetment of suicide,,,,,,,,,,
0,621f11b5c89aab647782287e,"Roli Books, 25 February 2022",Pramod Kapoor,1946: Last war of independence: Royal Indian Navy mutiny,Others,B0003,,,,,,,,,,,,,,,,,
0,621f340b8babb63419d300aa,,,,Social Security and Welfare measures for workers in unorganized and informal sectors,O0047,,Business Line,,2022-03-02T00:00:00.000Z,"Cross-sector collaboration and multidisciplinary approach is essential for dynamic and agile regulation for disruptive but  exciting telecom technologies. Digital inclusion needs to be the highest priority, especially for women and the marginalised, small enterprises and informal economy. For them, digital economy can be a boon. But they require handholding in the form of affordable connectivity, applications and use cases, especially in light of 5G-based Industry 4.0 technologies. Digital penetration has also raised issues of data protection, privacy and cyber security.",#TRAI_CHAIRMAN,On digital inclusiveness,,,,,,,,,,
0,62265a2c4771ee3dbc5c4917,,,,,,,,,,,,,,,,,,,,,,
0,62270d5f94fc735bad61fb12,,,,,,,,,,,,,,,,,,,,,,
0,62270ed894fc735bad61fb16,,,,,,,,,,,,,,,,,,,,,,
0,622712036a82ea8192f6c76e,,,,,,Why does this happen?,,,,,,,,,,,,,,,,
0,622772644f8ad491bfaca593,,,,,,,,,,,,,,,,,,,,,,
0,622b6134414e2ebbcf0071c5,,,,"New Unified Structure pertaining to Cyber Space, Space and Special Operations",O0048,,Business Line,,2022-03-11T00:00:00.000Z,"Spacecom is emerging the new disruptor in telecommunications. Satellite communications will be able to reach far-flung areas, difficult areas, and, in a quicker timeframe, provide not only telephony but also broadband. Space communication will not be replacing terrestrial communication - it is a co-traveller, enhancing the capacity required to make digital India possible. Satellite telecommunications can also be used for terrestrial backhaul. ",#DG_INDIAN_SPACE_ASSOCIATION,On satellite communication policy,,,,,,,,,,
0,6230065a2ac0b859e0b3969d,,,,Strengthening RBI and SEBI’s regulatory and operational capabilities,S0011,,,"RBI's harmonised regulatory framework for regulated lenders, ""RBI (Regulatory Framework for Microfinance Loans) Directions, 2022"" will be effective from April 1, 2022.",2022-03-15T00:00:00.000Z,,,,"All collateral-free loans, irrespective of end-use and mode of application/ processing/ disbursal, provided to low-income households- with annual income up to ₹3 lakh- are considered microfinance loans.",Interest rates and other charges/fees on these loans will be subject to supervisory scrutiny by the RBI.,Any change in interest rate or any other charge will have to be informed to the borrower well in advance.,"The Regulated Entities (scheduled commercial banks, small finance banks, NBFC-MFIs and NBFC-Investment and Credit Companies) or its agent shall not engage in any harsh methods towards loan recovery.",,,,,,
0,62300a97be8b34488f7971cf,,,,Import of Coal – Trends and Issue of Self Reliance,O0049,,Business Line,,2022-03-15T00:00:00.000Z,"India's demand for coking coal, used in steel making, is growing at a faster clip , and the country imports the bulk of its' requirements from Australia. Overall coking coal imports total 50-55 million tonnes, with overseas purchases rising 4 per cent annually. To reduce its import dependence on Australia, India, in 2021, agreed with Russia to import coking coal, which accounts for about 40 per cent of the total cost of steel production.",#UNION_COAL_MINISTER,On rocketing prices of coal in the wake of Russia's invasion of Ukraine,,,,,,,,,,
0,62300d9bf67dd32022c20d8d,,,,India's position in the ongoing Climate Change Negotiations,O0050,,Business Line,,2022-03-15T00:00:00.000Z,"It is hard to miss the preponderance of solar in renewables installations in recent years, but to triple its non-fossil fuel power in nine years, India has to look beyond solar. Wind is an obvious candidate, with an estimated potential of 700 GW at a hub height of 120 meters. But, offshore wind power is too expensive- around ₹8 a kWhr- essentially due to high installation costs. Large hydro, whose potential, estimated at 145 GW, is thrice as much as the existing capacity, has been hampered mainly by environmental concerns and rehabilitation and resettlement issues. Nuclear power , capacity today stands at a dismal 6,780 MW. The major problem is the ‘liability clause’, which has scared away reactor suppliers. Small modular reactors (SMR) are getting global attention, though none has been built. These can be sited at places vacated by retired thermal plants. India- indeed the world- has ignored ocean energies. These are expensive, like offshore wind, but costs can be tamed with scale. Oceans, like large hydro and nuclear, can provide 24x7 base load energy.",#EDITORIAL,On meeting global emission targets,,,,,,,,,,
0,623010836bb5f6a8a284f91f,,,,Import of fertilizers and the issue of self dependence,O0051,,Business Line,,2022-03-15T00:00:00.000Z,"Nano urea and promotion of natural farming will substantially bring down current usage of urea in bags. The government has also talked about green ammonia which is the next thing to help reduce urea. As dosage will be very low leading to surplus and also helping balanced use of fertiliser, the government should simultaneously prepare to capture the market vacated by China. China, in 2021, banned export of urea to meet domestic demand, and as a result, global prices flared up to record high. Recently, Russia also restricted outbound shipments amid the war in Ukraine and subsequent sanctions by US and European Union.",#INDUSTRY_EXPERTS,On export of urea,,,,,,,,,,
0,62304110601fda31ad26a647,,,,"Inter-sectoral review of challenges of emerging and converging technologies, entities and practices",O0052,,Business Line,,2022-03-15T00:00:00.000Z,"Big NLP is really important to India, as it’s a large model that can take billions of parameters into account and do what human brains cannot. Conversational AI is extremely critical at call centres and on websites. These services need to be augmented so that we can go beyond English to multiple global and local languages. Our nation is multilingual with thousands of dialects, and we need to find a solution for the community. A lot of such work is taking shape in India.",#MANAGING_DIRECTOR_NVIDIA,On scope and opportunity for natural language processing in India,,,,,,,,,,
0,623044c3d9636b5870b18787,,,,Self-reliance in Minerals and Metals,S0012,,,Nickel prices have doubled in the past month and trebled in the past year.,2022-03-15T00:00:00.000Z,,,,"81 per cent of nickel ores and concentrates of Europe’s imports come from Russia. Specifically, the European Union gets 30 per cent of its nickel imports from Russia. Exchange tradeable and deliverable nickel is only 25 per cent of the nickel that can be sold globally. Post commencement of Russia-Ukraine conflict Russia has banned exports of nickel and the metal’s trading was affected due to sanctions announced by the US, Europe and their allies against Kremlin.","Nickel can alloy with steels, irons, coppers, chromium, aluminum, lead, cobalt, silver, gold and other elements to make stainless steels, cast irons, inconel, incoloy, monel, nimonic and other alloys.","Nickel is used in making stainless steel, other alloys, batteries, electronics and medical device among others. Nickel alloys function as high performance alloys, corrosion resistant alloys, electronic alloys, and heat resistant alloys. ",,,,,,,
0,62304fca8fb9f675714de6ed,,,,Review of cyber security scenario in India,S0013,,,"So far, seven cases of money laundering using cryptocurrency have been registered in India.",2022-03-15T00:00:00.000Z,,,,"The crypto-currencies’ attractions to money launderers are global availability, the speed and irreversibility of transactions and the ability to hide identities.","Dirty cash- from drug-dealing, say- can be washed by converting it into crypto, splitting it into smaller amounts and moving it through the crypto-sphere, perhaps via several virtual currencies. Dirty crypto, for example from a ransomware attack, can be similarly swapped around- often at high speed (“atomic swaps”) and in little chunks (“micro laundering”)- until it is clean enough to be switched into ordinary money.","The global anti-money laundering system has serious structural flaws, largely because governments have outsourced to the private sector much of the policing they should have been doing themselves.","The Covid-19 pandemic, has boosted opportunities for ""trade-based money laundering"". Criminals have set up shell companies to exploit vast, poorly policed government-aid schemes.",,,,,,
0,623077fa7cd0059cb1314bc7,,,,Issues Related to Improving Consumers’ Satisfaction of Airlines,O0053,,Business Line,,2022-03-15T00:00:00.000Z,"Air travel must not be treated as a contractual matter between the airline and the passenger. Fixing of different fares for selection of seats in the same flight is arbitrary and unjustifiable. Hence, on the principle of equity, all the seats in a flight should have same fare. Passengers should not be fleeced in the garb of commercialisation. A balance must be maintained between the commercial interests of the airlines and the interest of the passengers.",#PARLIAMENTARY_PANEL_REPORT,On private airlines' ticket pricing policy,,,,,,,,,,
0,62314e3c19fff03ed6f190f4,,,,Rejuvenation of forests base,O0054,,Times of India,,2022-03-16T00:00:00.000Z,"Miyawaki forests are not natural forests. They do not have undergrowth, the girth of trees does not expand, and people cannot enter these forests. In Miyawaki method, the trees are artificially selected. They are not based on local conditions. They are then subjected to competition and stress. Therefore, they lose their natural characteristics. For example, Neem trees grow like pine trees. Also, these trees cannot play ecological services due to lack of space. This will not help a place like Tamil Nadu that has many native species. ",#CHENNAI_CITY_CORPORATION,On Tamil Nadu's 'micro forest' policy,,,,,,,,,,
0,6231690ad635bf0bdcafa615,,,,Strengthening the Justice Delivery process,O0055,,Times of India,,2022-03-16T00:00:00.000Z,All rights have to be viewed in the contextual conditions which were framed under the Constitution and the way in which they have evolved in the due course. The Fundamental Rights have relative content and their efficacy levels depend upon the circumstances in which they are sought to be exercised.,#KARNATAKA_HIGH_COURT,On the need to contextualise rights,,,,,,,,,,
0,63a8236a5abde0a442848638,,,,Development of Deep Sea Fishing,O0056,,The Hindu,,2022-12-25T00:00:00.000Z,"Purse seine fishing is a non-targeted fishing which is popular on India’s western coasts. It uses a large vertical net to surround dense shoals of pelagic or midwater fish in the open ocean and then draws in the edges like tightening the cords of a drawstring purse. It has led to a decrease in pelagic shoaling fish such as sardines, mackerel, anchovies and trevally on the western coast. Fishing is a 'State' subject. Currently, the ban on purse seine fishing is implemented in the territorial waters of Tamil Nadu, Kerala, Puducherry, Odisha, Dadra and Nagar Haveli and Daman and Diu, and the Andaman and Nicobar Islands up to 12 nautical miles. States such as Gujarat, Andhra Pradesh, Goa, Karnataka, and West Bengal have not imposed any such ban, while Maharashtra has issued some orders to regulate, but not ban purse seine fishing in its territorial waters. Rather than banning, the government should bring in certain regulations. Automatic identification systems can be established to identify the boats engaged in such fishing.",#FISHING_COMMUNITY,On regulating purse seine fishing,,,,,,,,,,
